,id,id_str,user_location,country_location
244,1356603219326210049,1356603219326210049,Not Available,Unknown
245,1356556521027620864,1356556521027620864,Not Available,Unknown
246,1356551845431312385,1356551845431312385,Not Available,Unknown
247,1356533121643077633,1356533121643077633,"Monaco, Indonesia, Australia",Unknown
248,1356502038599897088,1356502038599897088,"Mombasa, Kenya",Kenya
249,1356483672266792960,1356483672266792960,"Missoula , Montana",United States
250,1356475016116920322,1356475016116920322,Not Available,Unknown
251,1356393884515897346,1356393884515897346,"Kumeyaay Land – San Diego, CA",United States
252,1356382643420540931,1356382643420540931,"TX, CA, ME, MD, NH & Ontario",United States
253,1356311690791497728,1356311690791497728,Not Available,Unknown
254,1356289491623936001,1356289491623936001,Paris,France
255,1356239385847595009,1356239385847595009,Washington DC & Worldwide,United States
256,1356233151048278017,1356233151048278017,Not Available,Unknown
257,1356206159343054853,1356206159343054853,Not Available,Unknown
258,1356186335657254915,1356186335657254915,Jamaica- Trinidad &Tobago,Unknown
259,1356169884607143937,1356169884607143937,Mid-Atlantic,Unknown
260,1356154071200264194,1356154071200264194,"Lusaka, Zambia",Zambia
261,1356152726753845250,1356152726753845250,Catalunya,Spain
262,1356111613741379584,1356111613741379584,"Yerevan, Armenia",Armenia
263,1356105602200698880,1356105602200698880,The Boundless Sea,Unknown
264,1356099283989262338,1356099283989262338,"Queensbury, NY",United States
265,1356094856142024704,1356094856142024704,Maldives,Maldives
266,1355988692553363461,1355988692553363461,"Taylor, Texas",United States
267,1355985373944406020,1355985373944406020,Forever Himalayas....,Unknown
268,1355985117051641857,1355985117051641857,"Kuring-Gai, Australia",Australia
269,1355983958710882304,1355983958710882304,"Leeds, England",United Kingdom
270,1355935929551216645,1355935929551216645,"Taylor, Texas",United States
271,1355932860931256322,1355932860931256322,Not Available,Unknown
272,1355919908408877061,1355919908408877061,"Athens, Greece",Greece
273,1355890105429450754,1355890105429450754,"Key Largo, FL",United States
274,1355875936521121792,1355875936521121792,"Plymouth, England",United Kingdom
